Step,Training,Testing
1,0.049230773001909256,0.05421052873134613
2,0.05951923504471779,0.04842105135321617
3,0.055000003427267072,0.04526316002011299
4,0.060961540788412096,0.04736842215061188
5,0.05625000223517418,0.06052631512284279
6,0.061634622514247896,0.04631578549742699
7,0.06759615987539291,0.05368421599268913
8,0.06576923280954361,0.036315787583589552
9,0.06759615987539291,0.06315789371728897
10,0.07846154272556305,0.06105263531208038
11,0.08509615808725357,0.06157894805073738
12,0.10663462430238724,0.053684208542108536
13,0.1286538690328598,0.07263157516717911
14,0.15163463354110718,0.07052631676197052
15,0.192884624004364,0.07105263322591782
16,0.2226923108100891,0.07473684102296829
17,0.29403847455978392,0.07789473235607147
18,0.3535577058792114,0.07684209942817688
19,0.42855769395828248,0.08210526406764984
20,0.48615384101867680,0.0884210616350174
21,0.5371153950691223,0.08578947931528091
22,0.5896153450012207,0.08210525661706924
23,0.6328846216201782,0.09052632004022598
24,0.6766346096992493,0.09000001102685928
25,0.6954807639122009,0.09421053528785706
26,0.7043269276618958,0.09052632749080658
27,0.777019202709198,0.09368421882390976
28,0.7841346263885498,0.07947368919849396
29,0.7886538505554199,0.09263159334659576
30,0.8053845763206482,0.07631579041481018
